City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,keflavik,64.0049,-22.5624,1.24,93,75,5.14,IS,1739062856
1,bethel,41.3712,-73.414,-0.55,62,100,1.79,US,1739062801
2,margaret river,-33.95,115.0667,21.69,69,18,6.32,AU,1739062859
3,new plymouth,-39.0667,174.0833,21.84,100,0,4.03,NZ,1739062860
4,ushuaia,-54.8,-68.3,8.81,71,40,6.69,AR,1739062628
5,avarua,-21.2078,-159.775,30.03,74,75,4.12,CK,1739062862
6,atafu village,-8.5421,-172.5159,28.4,73,100,7.45,TK,1739062863
7,ribeira grande,38.5167,-28.7,13.22,88,75,8.23,PT,1739062864
8,port-aux-francais,-49.35,70.2167,5.97,85,78,12.58,TF,1739062866
9,whitehorse,60.7161,-135.0538,-11.66,82,40,1.54,CA,1739062867
10,nabire,-3.3667,135.4833,26.85,81,100,1.27,ID,1739062868
11,laguna,38.421,-121.4238,13.1,50,0,5.14,US,1739062869
12,badger,64.8,-147.5333,-15.56,85,0,0.0,US,1739062870
13,kolonia town,6.964,158.206,28.89,81,97,1.34,FM,1739062871
14,bathsheba,13.2167,-59.5167,26.34,83,40,5.66,BB,1739062873
15,waitangi,-43.9535,-176.5597,14.46,78,16,6.54,NZ,1739062874
16,olonkinbyen,70.9221,-8.7187,-4.4,69,48,12.88,SJ,1739062875
17,kayar,14.9192,-17.1211,19.53,59,100,5.31,SN,1739062876
18,bardai,11.65,7.2333,20.95,21,6,4.62,NG,1739062877
19,siocon,7.7061,122.1353,27.84,77,65,1.82,PH,1739062878
20,luderitz,-26.6481,15.1594,18.04,60,0,9.01,NA,1739062880
21,howrah,22.5892,88.3103,16.0,72,6,1.54,IN,1739062881
22,adamstown,-25.066,-130.1015,25.68,79,96,6.74,PN,1739062883
23,edinburgh of the seven seas,-37.0676,-12.3116,19.46,94,83,13.44,SH,1739062884
24,afua,-0.1567,-50.3867,24.24,95,100,1.64,BR,1739062886
25,thompson,55.7435,-97.8558,-19.91,71,75,2.06,CA,1739062632
26,saint-philippe,-21.3585,55.7679,26.7,84,12,4.29,RE,1739062889
27,albany,42.6001,-73.9662,-1.97,65,100,1.25,US,1739062890
28,lihue,21.9789,-159.3672,25.41,73,48,4.05,US,1739062891
29,isafjordur,66.0755,-23.124,-4.26,80,100,3.83,IS,1739062893
30,arica,-18.475,-70.3042,24.13,73,0,2.06,CL,1739062757
31,west island,-12.1568,96.8225,27.99,89,40,6.69,CC,1739062896
32,cockburn town,21.4612,-71.1419,25.31,68,0,9.0,TC,1739062898
33,caussade,44.1608,1.5391,3.28,96,15,1.1,FR,1739062900
34,saudarkrokur,65.7461,-19.6394,-5.91,84,100,6.31,IS,1739062901
35,belomorsk,64.5232,34.7668,-5.02,92,98,3.49,RU,1739062902
36,chudovo,59.1167,31.6833,-10.03,98,68,1.15,RU,1739062903
37,sitia,35.2,26.0986,10.2,74,91,12.18,GR,1739062905
38,shahrud,36.4182,54.9763,-1.1,48,100,5.93,IR,1739062906
39,ust-nera,64.5667,143.2,-36.16,98,73,1.21,RU,1739062907
40,blitar,-8.0983,112.1681,25.56,88,80,1.45,ID,1739062908
41,jaboatao,-8.1803,-35.0014,27.66,78,20,3.09,BR,1739062848
42,yeppoon,-23.1333,150.7333,25.95,78,100,7.86,AU,1739062911
43,mar del plata,-38.0023,-57.5575,20.53,72,0,6.17,AR,1739062388
44,tazacorte,28.629,-17.9293,16.54,67,20,2.57,ES,1739062914
45,cacequi,-29.8836,-54.825,27.49,39,4,1.72,BR,1739062915
46,punta arenas,-53.15,-70.9167,9.06,71,0,6.17,CL,1739062764
47,miles city,46.4083,-105.8406,-17.46,78,0,4.12,US,1739062917
48,pionerskiy,54.9508,20.2275,-5.09,65,22,7.48,RU,1739062918
49,alice springs,-23.7,133.8833,35.75,23,100,4.63,AU,1739062919
50,bilibino,68.0546,166.4372,-37.47,96,26,1.23,RU,1739062921
51,susuman,62.7833,148.1667,-37.73,97,80,0.48,RU,1739062923
52,tadine,-21.55,167.8833,24.07,88,100,2.77,NC,1739062906
53,sao mateus do maranhao,-4.0417,-44.475,23.78,96,100,1.98,BR,1739062925
54,weno,7.4515,151.8468,27.94,74,90,7.24,FM,1739062927
55,victoria,22.2855,114.1577,12.96,41,52,6.71,HK,1739062655
56,constitucion,-35.3333,-72.4167,21.16,52,100,6.52,CL,1739062808
57,salalah,17.0151,54.0924,18.72,83,0,1.09,OM,1739062930
58,oriximina,-1.7656,-55.8661,24.05,96,100,1.65,BR,1739062931
59,qaqortoq,60.7167,-46.0333,-5.46,68,100,5.71,GL,1739062932
60,iqaluit,63.7506,-68.5145,-23.15,70,75,2.57,CA,1739062933
61,hawaiian paradise park,19.5933,-154.9731,25.49,71,100,1.79,US,1739062935
62,port-vila,-17.7338,168.3219,31.78,70,75,2.57,VU,1739062779
63,ilulissat,69.2167,-51.1,-8.99,57,75,3.6,GL,1739062937
64,puerto ayora,-0.7393,-90.3518,25.86,94,39,1.96,EC,1739062938
65,vic,41.9301,2.2549,0.29,94,2,1.23,ES,1739062939
66,la ronge,55.1001,-105.2842,-15.86,72,100,7.2,CA,1739062940
67,merizo village,13.2658,144.6691,29.99,78,31,7.7,GU,1739062942
68,tazovsky,67.4667,78.7,-5.08,87,100,14.29,RU,1739062943
69,blackmans bay,-43.0167,147.3167,16.4,64,63,0.45,AU,1739062944
70,barmer,25.75,71.3833,14.37,17,0,2.35,IN,1739062722
71,utrik,11.2278,169.8474,26.35,76,9,6.4,MH,1739062946
72,xichang,27.8964,102.2634,4.75,68,6,0.52,CN,1739062947
73,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,43,75,8.0,RU,1739062948
74,labytnangi,66.6572,66.4183,-3.28,89,93,3.55,RU,1739062950
75,yellowknife,62.456,-114.3525,-28.71,63,40,5.66,CA,1739062951
76,lugoba,-6.45,38.3333,20.6,96,36,0.85,TZ,1739062952
77,berdigestyakh,62.0989,126.6992,-37.02,100,89,1.12,RU,1739062953
78,nar'yan-mar,67.6713,53.087,-4.57,94,100,5.49,RU,1739062954
79,the pas,53.8251,-101.2541,-16.99,66,0,2.06,CA,1739062833
80,beitbridge,-22.2167,30.0,25.18,69,100,5.12,ZW,1739062957
81,port elizabeth,-33.918,25.5701,20.73,80,0,1.79,ZA,1739062843
82,mata-utu,-13.2816,-176.1745,28.92,75,13,6.41,WF,1739062961
83,klingenthal,50.3667,12.4667,-2.95,92,59,1.63,DE,1739062962
84,longyearbyen,78.2186,15.6401,-5.09,58,75,6.17,SJ,1739062821
85,nogliki,51.8333,143.1667,-10.61,86,100,9.22,RU,1739062965
86,taroa,8.7058,171.2275,27.19,81,38,8.3,MH,1739062966
87,carnarvon,-24.8667,113.6333,27.54,68,64,8.11,AU,1739062967
88,talnakh,69.4865,88.3972,-10.48,93,100,5.17,RU,1739062968
89,magadan,59.5667,150.8,-20.17,75,0,3.58,RU,1739062969
90,college,64.8569,-147.8028,-15.51,77,40,2.06,US,1739062972
91,new norfolk,-42.7826,147.0587,17.06,40,13,2.28,AU,1739062974
92,stanley,54.868,-1.6985,4.01,93,75,4.63,GB,1739062975
93,touros,-5.1989,-35.4608,26.31,80,100,4.29,BR,1739062976
94,nanyuki,0.0167,37.0728,12.98,76,100,1.82,KE,1739062977
95,puerto tirol,-27.3722,-59.0821,32.0,43,0,2.57,AR,1739062979
96,nizhnyaya tavda,57.6731,66.1725,-4.24,91,78,4.25,RU,1739062980
97,klyuchi,52.2667,79.1667,-16.08,94,100,6.56,RU,1739062981
98,anadyr,64.75,177.4833,-13.72,84,100,1.0,RU,1739062982
99,cururupu,-1.8283,-44.8683,23.33,95,100,0.52,BR,1739062983
100,fort bragg,35.139,-79.006,13.79,78,100,1.54,US,1739062858
101,bangassou,4.7413,22.8184,22.52,37,100,1.5,CF,1739062986
102,banda aceh,5.5577,95.3222,24.67,73,96,5.46,ID,1739062988
103,jamestown,42.097,-79.2353,-4.43,96,100,4.12,US,1739062989
104,georgetown,5.4112,100.3354,26.96,63,20,2.57,MY,1739062990
105,luanda,-8.8368,13.2343,26.13,87,100,3.72,AO,1739062761
106,aykhal,66.0,111.5,-23.31,100,100,6.14,RU,1739062992
107,st. john's,47.5649,-52.7093,-3.35,68,40,9.77,CA,1739062759
108,enewetak,11.3474,162.3373,26.68,68,47,4.9,MH,1739062995
109,coahuayana de hidalgo,18.7,-103.6583,23.96,85,2,1.31,MX,1739062996
110,la junta,37.985,-103.5438,2.88,38,0,6.5,US,1739062870
111,grytviken,-54.2811,-36.5092,0.69,75,14,4.75,GS,1739063001
112,hermanus,-34.4187,19.2345,16.56,63,65,2.76,ZA,1739063002
113,pariaman,-0.619,100.12,25.03,82,98,1.1,ID,1739062951
114,sao joao do paraiso,-15.3136,-42.0144,20.26,68,100,3.28,BR,1739063004
115,saldanha,-33.0117,17.9442,17.89,75,0,8.75,ZA,1739062841
116,naze,28.3667,129.4833,8.51,66,100,5.42,JP,1739063006
117,hingorja,27.2109,68.416,15.94,18,0,2.74,PK,1739063007
118,port alfred,-33.5906,26.891,20.66,88,20,0.89,ZA,1739063009
119,capitan bado,-23.2667,-55.5333,22.45,77,3,2.09,PY,1739063010
120,hajin,34.6927,40.827,6.57,71,44,2.8,SY,1739063011
121,puerto natales,-51.7236,-72.4875,7.48,82,91,3.9,CL,1739063012
122,poronaysk,49.2167,143.1167,-7.57,73,100,6.14,RU,1739063013
123,flin flon,54.7682,-101.865,-15.09,66,40,1.54,CA,1739063014
124,porto novo,6.4965,2.6036,26.95,86,6,3.63,BJ,1739063015
125,wailua homesteads,22.0669,-159.378,25.07,73,0,2.57,US,1739063017
126,daru,-9.0763,143.2092,30.42,63,100,2.83,PG,1739063018
127,talcahuano,-36.7167,-73.1167,19.82,60,0,5.14,CL,1739063019
128,vorgashor,67.5833,63.95,0.13,97,100,8.25,RU,1739063020
129,malax,62.9423,21.5731,-2.03,86,100,4.63,FI,1739063021
130,stornoway,58.2093,-6.3865,-3.02,86,25,0.0,GB,1739063022
131,sylva,58.0348,56.7635,-16.17,100,100,1.41,RU,1739063023
132,zvenihorodka,49.0787,30.9675,-5.66,82,6,3.43,UA,1739063025
133,camiri,-20.05,-63.5167,20.13,94,18,1.68,BO,1739063026
134,kodiak,57.79,-152.4072,2.73,100,100,4.63,US,1739063027
135,san ignacio de velasco,-16.3667,-60.95,21.9,96,100,1.9,BO,1739063028
136,dzhetygara,52.1908,61.2006,-17.33,97,4,2.64,KZ,1739063029
137,invercargill,-46.4,168.35,15.01,68,62,0.89,NZ,1739063030
138,tolanaro,-25.0319,46.9987,24.84,91,8,3.58,MG,1739063032
139,ghat,24.9647,10.1728,11.11,40,73,2.61,LY,1739063033
140,tintafor,8.6267,-13.215,27.09,78,40,4.12,SL,1739063034
141,dudinka,69.4058,86.1778,-7.15,96,100,3.98,RU,1739063035
142,flying fish cove,-10.4217,105.6791,26.82,94,75,3.09,CX,1739063037
143,newman,37.3138,-121.0208,12.24,47,1,5.81,US,1739062817
144,hadibu,12.65,54.0333,22.4,79,1,1.43,YE,1739063039
145,san martin,-33.081,-68.4681,30.67,36,100,7.06,AR,1739062902
146,nemuro,43.3236,145.575,-1.89,70,100,11.05,JP,1739063041
147,aasiaat,68.7098,-52.8699,-14.24,55,100,8.04,GL,1739063044
148,fallbrook,33.3764,-117.2512,16.38,78,0,2.57,US,1739063045
